SK_ID_CURR,prediction
206215,0.030519761
110836,0.027188582
223230,0.115622416
259537,0.036770776
451925,0.042178176
440159,0.07729699
393848,0.17273897
332443,0.101259835
439295,0.051620614
253050,0.1796612
172764,0.059226673
416417,0.1069511
232574,0.06668199
155454,0.026306543
450494,0.13385086
248790,0.2875827
372864,0.05147942
181628,0.015434424
166009,0.21437299
283787,0.22421438
435822,0.2308078
233987,0.11331244
146750,0.035597347
394370,0.08038276
419523,0.042054597
385831,0.0832626
290875,0.06145846
127809,0.21458495
157816,0.080686465
120666,0.040474456
108998,0.038585078
402066,0.01609878
337426,0.18574858
170130,0.08295502
356347,0.039792493
344456,0.03678518
376297,0.23433395
146896,0.26456952
446328,0.1178329
347917,0.026946729
278792,0.020375043
338806,0.03748783
155668,0.1389236
211262,0.030250397
131693,0.057241894
338707,0.04721777
396339,0.041981198
230678,0.12662265
438596,0.0748766
107062,0.09881163
361854,0.042087987
284678,0.063898586
305943,0.054772962
405728,0.029103266
210100,0.05377784
316544,0.015410757
365560,0.06654291
333200,0.04033245
146696,0.024101295
188272,0.016906979
144459,0.0125342095
161431,0.046258956
382334,0.050159812
362446,0.028903825
128475,0.046934314
299403,0.04148556
122359,0.030665375
347970,0.10122075
271809,0.04013355
414739,0.15250537
128063,0.06402496
207707,0.044922516
316024,0.1210003
203482,0.21146977
297085,0.09208738
123585,0.11541058
409698,0.031733572
104266,0.054326355
355425,0.17262484
423605,0.31640622
226618,0.085173264
140252,0.06603175
170399,0.06971901
326935,0.021586373
252965,0.02694429
190159,0.039562706
432293,0.011575747
166125,0.06293749
237859,0.10215091
217375,0.09861622
411121,0.19016136
324328,0.027821973
259883,0.08593826
391206,0.03900565
151762,0.0960188
203268,0.022172667
408827,0.03574812
260279,0.1361444
271695,0.07504228
266777,0.10962027
425022,0.09085293
221283,0.08061943
374085,0.018082747
404028,0.11201998
208928,0.05702761
294358,0.1312619
353376,0.026011778
348659,0.033852816
191005,0.14351021
196522,0.090045124
274340,0.16093819
243175,0.06327149
291272,0.0647533
241515,0.13574868
435152,0.087617666
190921,0.0686821
145817,0.057779856
431291,0.16224429
410333,0.06317244
236773,0.10286212
184815,0.21240482
107874,0.16394284
204414,0.046116486
133430,0.079005376
445447,0.164854
409603,0.120128065
361829,0.0931577
375812,0.044000775
427977,0.25130168
158256,0.1419311
188984,0.060942717
194664,0.45233032
219540,0.15021226
393183,0.094048254
218860,0.053635012
145561,0.053333756
112426,0.06911343
199957,0.1765686
388709,0.116154276
313031,0.055011086
150942,0.034201734
227820,0.091488145
393508,0.037822925
129195,0.03098533
336655,0.051523283
103360,0.05602759
417361,0.0608031
109972,0.038046494
362802,0.11668134
177181,0.024983386
286818,0.03667415
315297,0.064900994
301709,0.03476642
313385,0.055268064
325142,0.26247212
433576,0.04766461
336713,0.08790025
336379,0.17876555
129709,0.022498239
133738,0.07056468
217916,0.02546248
362536,0.07903933
241320,0.026974242
313641,0.08155413
393342,0.040850557
254413,0.069905214
413121,0.026701398
261943,0.030295635
143870,0.08463554
384623,0.12591228
371432,0.055160716
104157,0.09213795
447223,0.052850373
289645,0.015436323
297972,0.07227334
133596,0.10307271
167161,0.07576575
163002,0.030557984
133159,0.113791905
357251,0.0830678
138622,0.054806508
218255,0.09775124
310747,0.027367182
428548,0.117966935
369442,0.027866375
212704,0.13059992
333598,0.062065527
115366,0.042246066
168114,0.04609403
228473,0.02464797
300035,0.18076038
139420,0.07725298
189667,0.043049194
307637,0.15873127
223597,0.026758308
411005,0.068767086
381394,0.0915172
376105,0.07182251
335464,0.12744144
195935,0.08793405
148051,0.045790143
165276,0.029266354
398846,0.022874583
310304,0.07589391
276531,0.028228352
282556,0.049653687
218436,0.023290941
244325,0.076047964
333694,0.059729636
329212,0.22846858
155277,0.111070774
318734,0.058111023
348549,0.07749999
285676,0.05555688
262378,0.1579
369309,0.07632041
393605,0.042807773
425744,0.0397339
246238,0.1460021
199568,0.024285333
147414,0.050773714
190126,0.116675526
153805,0.17125893
216609,0.030290771
384941,0.15460974
441182,0.016857151
354555,0.044748046
431455,0.008797064
392799,0.06662329
326147,0.04467399
350390,0.040933993
365850,0.035028975
258326,0.15734854
234857,0.046250973
410554,0.014340198
394719,0.044895798
297938,0.01445461
427799,0.044663962
431099,0.09213665
262962,0.034429796
142182,0.12958665
204570,0.05207426
316404,0.03639365
309017,0.05758898
116734,0.2053188
182753,0.052364707
208961,0.11825111
380027,0.16915214
144964,0.08229193
195219,0.14791441
243799,0.12494287
180192,0.20186786
368081,0.049443662
408153,0.049433816
247778,0.046539012
298594,0.03284252
415214,0.017286837
325990,0.05547697
279870,0.026604578
221433,0.08642314
447071,0.15486565
347632,0.07442293
347713,0.023409422
433446,0.02131152
399962,0.13448353
367394,0.075011626
102437,0.24430487
339553,0.22638726
416919,0.096064985
393963,0.05915621
253879,0.09510786
413666,0.0716303
437059,0.157167
422347,0.10221183
400271,0.062246617
268442,0.1835517
312253,0.11181478
242788,0.11141746
333424,0.10126055
267273,0.109952904
263225,0.09724081
264266,0.09971208
315785,0.037546966
196116,0.16276117
104662,0.094465055
233618,0.048116706
378849,0.039475378
185226,0.25035018
415170,0.08574551
257237,0.19236381
138937,0.039594326
336133,0.07896499
376612,0.1936413
172280,0.08110749
208460,0.08660247
172835,0.1225466
419314,0.24955745
325337,0.06964655
282899,0.04544035
226252,0.0688416
409465,0.0976898
427545,0.1402664
341533,0.027990256
394489,0.042404022
233238,0.1302721
141197,0.027404105
263079,0.08480055
201828,0.06919425
184277,0.23467652
126930,0.036049392
446925,0.062056463
159784,0.032980617
149447,0.08703847
330760,0.10269312
434080,0.12544408
170098,0.069987155
456027,0.16066888
431760,0.07651247
239390,0.027145987
136590,0.026666947
282529,0.12376262
400527,0.023217343
